h,t
0.19454513348688698,-3.55
0.16902784600110712,-3.54
0.14257943920868935,-3.53
0.11529612271520956,-3.52
0.08727840554971437,-3.51
0.05863073819781709,-3.5
0.02946113530503724,-3.49
-0.00011921963792257891,-3.48
-0.02999638623116819,-3.47
-0.060054094245697826,-3.46
-0.09017418429510995,-3.45
-0.1202370604766159,-3.44
-0.15012215329494427,-3.43
-0.17970839112478115,-3.42
-0.20887467841567206,-3.41
-0.23750037879850083,-3.4
-0.26546580121444296,-3.39
-0.29265268715644704,-3.38
-0.31894469708961276,-3.37
-0.34422789410069377,-3.36
-0.36839122281840536,-3.35
-0.39132698164544993,-3.34
-0.41293128635009674,-3.33
-0.4331045230801411,-3.32
-0.45175178888469963,-3.31
-0.468783317860001,-3.3
-0.4841148910737412,-3.29
-0.49766822846878617,-3.28
-0.5093713610008398,-3.27
-0.519158981326072,-3.26
-0.5269727714233524,-3.25
-0.5327617056116216,-3.24
-0.5364823275056096,-3.23
-0.5380989995425415,-3.22
-0.5375841238081824,-3.21
-0.5349183329923624,-3.2
-0.5300906504115831,-3.19
-0.5230986181491086,-3.18
-0.5139483924806495,-3.17
-0.5026548058759633,-3.16
-0.48924139499298486,-3.15
-0.4737403942109659,-3.14
-0.45619269438208504,-3.13
-0.4366477666166426,-3.12
-0.41516355105458164,-3.11
-0.39180631071544775,-3.1
-0.36665045065914764,-3.09
-0.33977830283069016,-3.08
-0.31127987710281096,-3.07
-0.28125257917047275,-3.06
-0.24980089609007236,-3.05
-0.21703605039340298,-3.04
-0.18307562384104192,-3.03
-0.148043152011878,-3.02
-0.11206769105381378,-3.01
-0.07528335804516204,-3.0
-0.03782884653614445,-2.99
0.00015308104526080097,-2.98
0.03851612232960209,-2.97
0.07711098338763693,-2.96
0.11578594456400565,-2.95
0.15438744167979584,-2.94
0.1927606604386017,-2.93
0.23075014179628067,-2.92
0.2682003959882012,-2.91
0.3049565228502413,-2.9
0.34086483602072015,-2.89
0.3757734885708442,-2.88
0.40953309758083545,-2.87
0.44199736515818694,-2.86
0.47302369338350947,-2.85
0.5024737906684549,-2.84
0.5302142670190879,-2.83
0.5561172157173238,-2.82
0.580060778962109,-2.81
0.6019296950514496,-2.8
0.6216158247357011,-2.79
0.6390186544318833,-2.78
0.6540457740579053,-2.77
0.6666133273243928,-2.76
0.6766464324099642,-2.75
0.6840795710432344,-2.74
0.6888569441209997,-2.73
0.6909327921068686,-2.72
0.6902716785775159,-2.71
0.6868487354144304,-2.7
0.6806498682770088,-2.69
0.6716719211376911,-2.68
0.6599227988109609,-2.67
0.6454215465649799,-2.66
0.6281983860667593,-2.65
0.6082947070785504,-2.64
0.5857630144938604,-2.63
0.5606668304757063,-2.62
0.5330805516364218,-2.61
0.5030892613772896,-2.6
0.4707884976863603,-2.59
0.4362839768736305,-2.58
0.3996912739034459,-2.57
0.3611354601638684,-2.56
0.3207506996910265,-2.55
0.2786798050426523,-2.54
0.2350737541878621,-2.53
0.19009116994981842,-2.52
0.14389776370260504,-2.51
0.0966657451835917,-2.5
0.04857320043639097,-2.49
-0.00019655995292791465,-2.48
-0.04945568002346325,-2.47
-0.09901246257551335,-2.46
-0.14867209571538098,-2.45
-0.19823739913425276,-2.44
-0.24750958734068104,-2.43
-0.2962890469707246,-2.42
-0.34437612521456584,-2.41
-0.39157192632442583,-2.4
-0.43767911310570373,-2.39
-0.4825027102423855,-2.38
-0.5258509062686536,-2.37
-0.5675358509721237,-2.36
-0.6073744449999362,-2.35
-0.6451891184377319,-2.34
-0.680808595142969,-2.33
-0.7140686396386632,-2.32
-0.7448127834110377,-2.31
-0.7728930275051635,-2.3
-0.7981705183759527,-2.29
-0.8205161940281384,-2.28
-0.8398113975675585,-2.27
-0.8559484553873054,-2.26
-0.8688312173254779,-2.25
-0.8783755562563605,-2.24
-0.884509824713211,-2.23
-0.8871752662882465,-2.22
-0.8863263797132415,-2.21
-0.8819312336919624,-2.2
-0.8739717307328426,-2.19
-0.8624438184162798,-2.18
-0.847357646724984,-2.17
-0.8287376702673447,-2.16
-0.8066226944319382,-2.15
-0.7810658647254826,-2.14
-0.7521345987657466,-2.13
-0.7199104606245652,-2.12
-0.6844889774430877,-2.11
-0.6459793984711023,-2.1
-0.6045043969135234,-2.09
-0.5601997151993486,-2.08
-0.5132137545203277,-2.07
-0.46370710971762896,-2.06
-0.411852050823655,-2.05
-0.3578319527923503,-2.04
-0.3018406751734215,-2.03
-0.24408189370347594,-2.02
-0.18476838599867174,-2.01
-0.1241212737387925,-2.0
-0.06236922393019246,-1.99
0.0002523879754622441,-1.98
0.06350235014970466,-1.97
0.1271345185158028,-1.96
0.19089874965078354,-1.95
0.2545418590264529,-1.94
0.31780860101933067,-1.93
0.3804426669965984,-1.92
0.44218769767594446,-1.91
0.5027883058619423,-1.9
0.561991105581074,-1.89
0.6195457435719436,-1.88
0.6752059290372343,-1.87
0.7287304575297114,-1.86
0.7798842248265287,-1.85
0.8284392266444038,-1.84
0.8741755400630464,-1.83
0.916882282555682,-1.82
0.9563585445737144,-1.81
0.9924142916973665,-1.8
1.0248712324455533,-1.79
1.0535636479360193,-1.78
1.0783391797007988,-1.77
1.099059572091913,-1.76
1.1156013658576645,-1.75
1.1278565396304001,-1.74
1.135733096241782,-1.73
1.1391555909708235,-1.72
1.1380655990326325,-1.71
1.1324221198312556,-1.7
1.122201915727545,-1.69
1.10739978331173,-1.68
1.0880287554195918,-1.67
1.0641202323898549,-1.66
1.0357240413277582,-1.65
1.0029084224147078,-1.64
0.9657599415854554,-1.63
0.9243833291813213,-1.62
0.878901244479528,-1.61
0.8294539662935541,-1.6
0.7761990101364603,-1.59
0.7193106727371977,-1.58
0.6589795049978461,-1.57
0.5954117147762468,-1.56
0.5288285011725467,-1.55
0.45946532228838594,-1.54
0.38757109871286405,-1.53
0.3134073552685389,-1.52
0.23724730382266823,-1.51
0.1593748702322664,-1.5
0.08008366874545658,-1.49
-0.000324072575359751,-1.48
-0.08153863161162522,-1.47
-0.16324395311264894,-1.46
-0.24511884656551605,-1.45
-0.3268382166009134,-1.44
-0.408074321350794,-1.43
-0.4884980540161027,-1.42
-0.5677802427625473,-1.41
-0.6455929639401039,-1.4
-0.721610863518543,-1.39
-0.7955124815470814,-1.38
-0.8669815743820684,-1.37
-0.9357084293826362,-1.36
-1.0013911667510798,-1.35
-1.0637370231925505,-1.34
-1.1224636120876843,-1.33
-1.1773001549121669,-1.32
-1.2279886786991456,-1.31
-1.2742851744235806,-1.3
-1.3159607112921805,-1.29
-1.352802502048104,-1.28
-1.3846149145460354,-1.27
-1.411220425019969,-1.26
-1.432460508652801,-1.25
-1.4481964632629187,-1.24
-1.4583101621479129,-1.23
-1.462704732368482,-1.22
-1.46130515501586,-1.21
-1.4540587842827437,-1.2
-1.4409357824498423,-1.19
-1.4219294682067591,-1.18
-1.3970565760458864,-1.17
-1.3663574248002395,-1.16
-1.3298959937393857,-1.15
-1.2877599049906914,-1.14
-1.2400603114145932,-1.13
-1.186931689431248,-1.12
-1.1285315366701996,-1.11
-1.0650399746933816,-1.1
-0.9966592574230813,-1.09
-0.9236131862893201,-1.08
-0.8461464334935398,-1.07
-0.7645237751663345,-1.06
-0.6790292365744333,-1.05
-0.5899651519049124,-1.04
-0.4976511415209098,-1.03
-0.4024230099416903,-1.02
-0.30463156814894504,-1.01
-0.2046413841595408,-1.0
-0.10282946613076815,-0.99
0.0004161174236146321,-0.98
0.10469767543126365,-0.97
0.20960938491722292,-0.96
0.31473882909930506,-0.95
0.4196685772604673,-0.94
0.5239778005120175,-0.93
0.6272439173591755,-0.92
0.7290442628002454,-0.91
0.828957774533866,-0.9
0.9265666897157951,-0.89
1.0214582455987888,-0.88
1.1132263773065307,-0.87
1.2014734059362737,-0.86
1.2858117101549786,-0.85
1.3658653744509934,-0.84
1.4412718072277175,-0.83
1.5116833219776395,-0.82
1.5767686748544987,-0.81
1.6362145520682496,-0.8
1.6897270006616385,-0.79
1.7370327963885366,-0.78
1.7778807426020344,-0.77
1.8120428942745173,-0.76
1.839315701511647,-0.75
1.8595210671868827,-0.74
1.872507313611942,-0.73
1.8781500534705717,-0.72
1.8763529605771845,-0.71
1.8670484363771207,-0.7
1.8501981684804356,-0.69
1.825793577914763,-0.68
1.7938561521936693,-0.67
1.754437661723518,-0.66
1.7076202575125738,-0.65
1.6535164485994398,-0.64
1.5922689580820546,-0.63
1.5240504571018423,-0.62
1.44906317661821,-0.61
1.3675383972947701,-0.6
1.2797358183083662,-0.59
1.1859428063834356,-0.58
1.0864735268453884,-0.57
0.981667958975638,-0.56
0.8718907984356467,-0.55
0.7575302500059521,-0.54
0.6389967143565174,-0.53
0.5167213730251142,-0.52
0.39115467622869043,-0.51
0.2627647385670108,-0.5
0.13203564809633692,-0.49
-0.0005343053482475454,-0.48
-0.13443447632186697,-0.47
-0.26914377780999726,-0.46
-0.4041326561820468,-0.45
-0.5388651197876221,-0.44
-0.6728008136375712,-0.43
-0.8053971323519674,-0.42
-0.936111363325894,-0.41
-1.0644028518623898,-0.4
-1.1897351798513058,-0.39
-1.311578349434114,-0.38
-1.4294109629888025,-0.37
-1.5427223906965628,-0.36
-1.6510149169137236,-0.35
-1.7538058565687937,-0.34
-1.8506296328358633,-0.33
-1.9410398074022464,-0.32
-2.024611054750226,-0.31
-2.1009410720099804,-0.3
-2.1696524161130886,-0.29
-2.230394260183063,-0.28
-2.2828440613406884,-0.27
-2.326709132376898,-0.26
-2.3617281100537983,-0.25
-2.3876723131342708,-0.24
-2.4043469836114166,-0.23
-2.4115924050096544,-0.22
-2.4092848920583965,-0.21
-2.397337646495328,-0.2
-2.375701474237988,-0.19
-2.3443653596678056,-0.18
-2.303356893298345,-0.17
-2.252742549647206,-0.16
-2.192627812697011,-0.15
-2.12315714691293,-0.14
-2.0445138123802664,-0.13
-1.9569195232333356,-0.12
-1.860633949164059,-0.11
-1.7559540604229038,-0.1
-1.6432133173536287,-0.09
-1.5227807061343213,-0.08
-1.395059623027851,-0.07
-1.2604866100726975,-0.06
-1.1195299457675378,-0.05
-0.972688094917461,-0.04
-0.8204880224137248,-0.03
-0.6634833763100342,-0.02
-0.5022525461339029,-0.01
-0.33739660292935186,0.0
-0.16785020545460483,0.01
0.0006724767166089643,0.02
0.1675156727333775,0.03
0.33203677365806605,0.04
0.4936087409233471,0.05
0.6516224292947078,0.06
0.8054888160093809,0.07
0.9546411282162964,0.08
1.0985368613218998,0.09
1.2366596813513642,0.1
1.3685212049616473,0.11
1.4936626512896272,0.12
1.6116563603829186,0.13
1.7221071735404563,0.14
1.8246536714821289,0.15
1.918969266869163,0.16
2.004763148307148,0.17
2.0817810735790183,0.18
2.149806010473538,0.19
2.208658624193351,0.2
2.2581976109430486,0.21
2.2983198779095373,0.22
2.328960570451892,0.23
2.3500929479135455,0.24
2.3617281100537983,0.25
2.363914576666076,0.26
2.3567377235050095,0.27
2.3403190781811247,0.28
2.3148154801989524,0.29
2.2804181098096477,0.3
2.2373513908211504,0.31
2.1858717729558474,0.32
2.12626639976604,0.33
2.05885166851,0.34
1.983971688754597,0.35
1.9019966468033889,0.36
1.8133210833505664,0.37
1.7183620920304359,0.38
1.6175574467683786,0.39
1.5113636660419612,0.4
1.400254022329459,0.41
1.2847165051573244,0.42
1.165251746257803,0.43
1.0423709154129228,0.44
0.9165935955916088,0.45
0.7884456459828482,0.46
0.6584570614900743,0.47
0.5271598371806873,0.48
0.3950858460805429,0.49
0.2627647385670113,0.5
0.13072187144674252,0.51
-0.0005237253934923914,0.52
-0.13046133710148797,0.53
-0.2585904993334051,0.54
-0.38442287396199365,0.55
-0.5074840582016105,0.56
-0.6273153206633637,0.57
-0.7434752582070205,0.58
-0.8555413678302985,0.59
-0.9631115282292761,0.6
-1.0658053860739536,0.61
-1.1632656424688725,0.62
-1.2551592355082268,0.63
-1.3411784152861914,0.64
-1.4210417081843958,0.65
-1.4944947677276645,0.66
-1.5613111097743018,0.67
-1.6212927302865694,0.68
-1.6742706044084033,0.69
-1.7201050660591937,0.7
-1.758686067732422,0.71
-1.7899333206645236,0.72
-1.8137963160103594,0.73
-1.8302542281256557,0.74
-1.839315701511647,0.75
-1.8410185234214487,0.76
-1.8354291845596218,0.77
-1.8226423307244082,0.78
-1.8027801086447544,0.79
-1.7759914096499665,0.8
-1.7424510151774084,0.81
-1.7023586484716946,0.82
-1.6559379371562089,0.83
-1.603435291663457,0.84
-1.545118704793578,0.85
-1.4812764779296657,0.86
-1.4122158796733097,0.87
-1.338261742873521,0.88
-1.2597550062061948,0.89
-1.1770512066191487,0.9
-1.0905189290890662,0.91
-1.0005382202412823,0.92
-0.9074989724608977,0.93
-0.8117992851744424,0.94
-0.7138438100049798,0.95
-0.6140420865006825,0.96
-0.5128068751073656,0.97
-0.4105524940001137,0.98
-0.30769316630795485,0.99
-0.2046413841595416,1.0
-0.1018062958472835,1.01
0.0004078777465660874,1.02
0.10160339149518045,1.03
0.2013904833756813,1.04
0.2993888352721598,1.05
0.39522898192366845,1.06
0.48855366296531744,1.07
0.5790191132858435,1.08
0.6662962872162175,1.09
0.7500720123700587,1.1
0.8300500692761165,1.11
0.9059521932748198,1.12
0.9775189954931117,1.13
1.0445108000633505,1.14
1.1067083951111332,1.15
1.1639136954024212,1.16
1.2159503149103097,1.17
1.2626640479351559,1.18
1.3039232577866988,1.19
1.3396191724119908,1.2
1.36966608672678,1.21
1.394001471779131,1.22
1.4125859912408971,1.23
1.4254034260840103,1.24
1.432460508652801,1.25
1.4337866676895858,1.26
1.4294336862071435,1.27
1.4194752744272596,1.28
1.404006560318087,1.29
1.383143500563482,1.3
1.357022215083731,1.31
1.3257982484981332,1.32
1.2896457621749018,1.33
1.2487566607518263,1.34
1.2033396572315134,1.35
1.153619280956875,1.36
1.0998348329554457,1.37
1.0422392933044025,1.38
0.981098185311509,1.39
0.916688401430135,1.4
0.8492969959287556,1.41
0.7792199494167816,1.42
0.7067609103890446,1.43
0.6322299189906616,1.44
0.5559421182225536,1.45
0.47821645780553107,1.46
0.39937439589801765,1.47
0.3197386038192058,1.48
0.2396316788663554,1.49
0.15937487023226735,1.5
0.07928682292746367,1.51
-0.0003176555084217968,1.52
-0.07912880085915802,1.53
-0.15684306615610918,1.54
-0.23316425935279372,1.55
-0.3078046406146659,1.56
-0.38048597528979344,1.57
-0.45094053884032537,1.58
-0.5189120702415597,1.59
-0.5841566705937452,1.6
-0.6464436439407141,1.61
-0.7055562775476862,1.62
-0.7612925591572085,1.63
-0.8134658290158762,1.64
-0.8619053647442488,1.65
-0.9064568974069382,1.66
-0.9469830574280702,1.67
-0.9833637492880086,1.68
-1.0154964542292988,1.69
-1.0432964604919255,1.7
-1.066697020889163,1.71
-1.0856494378242776,1.72
-1.1001230761341074,1.73
-1.1101053044268907,1.74
-1.1156013658576645,1.75
-1.1166341795539894,1.76
-1.113244074166768,1.77
-1.1054884552744473,1.78
-1.0934414086131157,1.79
-1.077193241338964,1.8
-1.056849963752502,1.81
-1.0325327141250433,1.82
-1.0043771294665325,1.83
-0.9725326652591549,1.84
-0.9371618673527786,1.85
-0.8984395993754853,1.86
-0.856552229154909,1.87
-0.8116967777732562,1.88
-0.7640800349905376,1.89
-0.7139176448662636,1.9
-0.6614331654895068,1.91
-0.6068571067906502,1.92
-0.5504259504552471,1.93
-0.4923811559910982,1.94
-0.4329681570141004,1.95
-0.37243535181658116,1.96
-0.3110330922640456,1.97
-0.24901267503255534,1.98
-0.18662533914983312,1.99
-0.12412127373879348,2.0
-0.0617486397831544,2.01
0.0002473903587056991,2.02
0.06162557207261168,2.03
0.1221495027416979,2.04
0.18158850776821805,2.05
0.2397184951437141,2.06
0.2963227755033766,2.07
0.3511928447674866,2.08
0.4041291266493291,2.09
0.4549416724947933,2.1
0.5034508161125593,2.11
0.5494877814550835,2.12
0.5928952412180676,2.13
0.633527824639395,2.14
0.6712525729962657,2.15
0.7059493415210004,2.16
0.7375111466803344,2.17
0.7658444579895345,2.18
0.7908694337600131,2.19
0.8125201004067372,2.2
0.8307444751684147,2.21
0.8455046323185783,2.22
0.8567767131681655,2.23
0.864550880379383,2.24
0.8688312173254779,2.25
0.8696355734409428,2.26
0.8669953567106802,2.27
0.8609552746441373,2.28
0.8515730252705945,2.29
0.8389189398740103,2.3
0.8230755793594343,2.31
0.8041372863074274,2.32
0.7822096949275454,2.33
0.7574092012663511,2.34
0.7298623961590042,2.35
0.6997054635359883,2.36
0.6670835468074007,2.37
0.632150086146348,2.38
0.595066129579856,2.39
0.5559996208703394,2.4
0.5151246672326248,2.41
0.4726207899810056,2.42
0.4286721612373675,2.43
0.3834668298554709,2.44
0.3371959397275631,2.45
0.29005294363822764,2.46
0.24223281581635792,2.47
0.19393126631005944,2.48
0.14534396027085528,2.49
0.09666574518359265,2.5
0.04808988901671484,2.51
-0.0001926678050842355,2.52
-0.047994043787373174,2.53
-0.09513012838701693,2.54
-0.14142127204665605,2.55
-0.18669295173462447,2.56
-0.2307764096039205,2.57
-0.2735092625139927,2.58
-0.3147360802964615,2.59
-0.3543089307907596,2.6
-0.39208788982639886,2.61
-0.42794151448538686,2.62
-0.46174727813994043,2.63
-0.4933919659266853,2.64
-0.5227720294881861,2.65
-0.5497938999852978,2.66
-0.5743742585585349,2.67
-0.5964402635931451,2.68
-0.6159297343195367,2.69
-0.6327912904580228,2.7
-0.6469844477934047,2.71
-0.6584796697402093,2.72
-0.6672583751327115,2.73
-0.6733129026445359,2.74
-0.6766464324099638,2.75
-0.6772728655825565,2.76
-0.6752166627255497,2.77
-0.6705126420823108,2.78
-0.6632057389232243,2.79
-0.6533507273073119,2.8
-0.6410119057320778,2.81
-0.626262748273139,2.82
-0.6091855229356176,2.83
-0.5898708790517215,2.84
-0.5684174056630038,2.85
-0.5449311629211686,2.86
-0.5195251886276538,2.87
-0.49231898210943126,2.88
-0.46343796769606205,2.89
-0.43301294012122454,2.9
-0.401179494220166,2.91
-0.36807744133303316,2.92
-0.3338502148525725,2.93
-0.298644267373351,2.94
-0.26260846190832443,2.95
-0.22589345963761678,2.96
-0.188651106643371,2.97
-0.15103382206430352,2.98
-0.11319399007364238,2.99
-0.0752833580451629,3.0
-0.03745244322403349,3.01
0.00015004983747217781,3.02
0.03737779888436944,3.03
0.07408741848149095,3.04
0.11013899741288985,3.05
0.1453966170048375,3.06
0.17972884851394047,3.07
0.2130092278231799,3.08
0.24511670579570874,3.09
0.2759360727490357,3.1
0.3053583556296141,3.11
0.3332811865899822,3.12
0.35960914179647535,3.13
0.3842540494248424,3.14
0.4071352659332269,3.15
0.42817991983643144,3.16
0.4473231223414443,3.17
0.4645081443416564,3.18
0.47968655940501737,3.19
0.49281835252947287,3.2
0.503871994576524,3.21
0.5128244824302751,3.22
0.5196613450643089,3.23
0.5243766158316452,3.24
0.5269727714233526,3.25
0.5274606380687094,3.26
0.5258592656735188,3.27
0.5221957707129802,3.28
0.5165051488108567,3.29
